codigo,nombre,latitud,longitud,elevacion,comuna,region,primera_lectura
FDF-400100,La Union Norte,-40.288667,-73.071333,29,La Unión,Los Ríos,2011-01-01 0:00
FDF-270029,Las Canteras,-27.742834,-70.182129,872,Tierra Amarilla,Atacama,2022-04-20 0:00
FDF-350029,Las Lomillas - San Clemente,-35.5416389,-71.3182219,323,San Clemente,Maule,2017-05-16 0:00
FDF-320028,Las Puertas,-32.362194,-70.81972183,360,Cabildo,Valparaíso,2017-06-01 0:00
FDF-370056,Las Viñas ,-37.50138889,-72.30055556,159,Los Ángeles,Bío Bío,2011-01-01 0:00
FDF-320120,Limache,-32.99444444,-71.26066667,88,Limache,Valparaíso,2011-01-01 0:00
FDF-350097,Linares 2,-35.932194,-71.566833,190,Longaví,Maule,2011-01-01 0:00
FDF-320090,Llayllay,-32.90333333,-70.95055556,441,Llaillay,Valparaíso,2011-01-01 0:00
FDF-1002,LO HERRERA,-33.66288889,-70.76591667,499,San Bernardo,Metropolitana,2011-01-01 0:00
FDF-340100,Lolol,-34.71361111,-71.62972222,104,Lolol,O'Higgins,2011-01-01 0:00
FDF-390036,Loncoche,-39.39333333,-72.63666667,108,Pucón,La Araucanía,2011-01-01 0:00
FDF-350090,Longaví Norte,-36.05361111,-71.68333333,175,Longaví,Maule,2011-01-01 0:00
FDF-360065,Longaví Sur,-35.95305556,-71.60805556,167,Longaví,Maule,2011-01-01 0:00
FDF-350020,Lontue,-35.04972222,-71.24805556,231,Molina,Maule,2011-01-01 0:00
FDF-370027,Los Angeles,-37.44722222,-72.51722222,96,Los Ángeles,Bío Bío,2011-01-01 0:00
FDF-360110,Los Coligues Ex - Chillan Viejo,-36.62916667,-72.23333333,82,San Fabián,Ñuble,2011-01-01 0:00
FDF-320140,Los Espinos,-32.8901667,-70.3821388,158,Los Andes,Valparaíso,2017-05-20 0:00
FDF-340015,Los Maquis,-34.49972222,-70.83972222,475,Malloa,O'Higgins,2011-01-01 0:00
FDF-380030,Los Quilantos,-38.9083333,-72.7982222,65,Freire,La Araucanía,2017-05-31 0:00
FDF-310037,Los Vilos - Quebrachar,-31.8603889,-71.4395833,182,Los Vilos,Coquimbo,2017-06-01 0:00
FDF-390056,MAFIL,-39.63138889,-72.94833333,31,Máfil,Los Ríos,2013-07-03 0:00
FDF-330080,Mallarauco,-33.58666667,-70.99611111,267,Melipilla,Metropolitana,2011-01-01 0:00
FDF-320019,Manuel Montt,-32.322861,-71.06105583,313,Petorca,Valparaíso,2011-01-01 0:00
FDF-340130,Marchigue,-34.40555556,-71.60722222,140,Marchihue,O'Higgins,2011-01-01 0:00
FDF-270035,Maria Isabel,-27.335098,-70.780382,146,Tierra Amarilla,Atacama,2022-04-21 0:00
FDF-390050,Mariquina,-39.62083333,-73.07333333,216,Mariquina,Los Ríos,2011-01-01 0:00
FDF-350030,Maule,-35.57666667,-71.67888889,116,San Javier,Maule,2011-01-01 0:00
FDF-270019,Mayorquina,-27.337762,-70.567188,233,Copiapó,Atacama,2022-04-21 0:00
FDF-330059,Melipilla,-33.65,-71.1,243,El Monte,Metropolitana,2011-01-01 0:00
FDF-350060,Miraflores,-35.918056,-71.613306,173,Linares,Maule,2011-01-01 0:00
FDF-300050,Monte Patria,-30.68222222,-70.93944444,529,Monte Patria,Coquimbo,2011-01-01 0:00
FDF-340140,Morza,-34.85166667,-71.02027778,321,Teno,Maule,2011-01-01 0:00
FDF-360052,Morza Norte Ex Peteroa ,-34.835,-71.02416667,122,Teno,Maule,2011-01-01 0:00
FDF-340011,Mostazal,-34.00166667,-70.70166667,448,Mostazal,O'Higgins,2011-01-01 0:00
FDF-370070,Mulchén,-37.70361111,-72.21694444,221,Mulchén,Bío Bío,2011-01-01 0:00
FDF-340039,Nancagua 2,-34.66083333,-71.28361111,186,Nancagua,O'Higgins,2011-01-01 0:00
FDF-270070,Nantoco,-27.55176,-70.26957,649,Tierra Amarilla,Atacama,2022-04-19 0:00
FDF-370045,Negrete,-37.59527778,-72.46666667,103,Mulchén,Bío Bío,2011-01-01 0:00
FDF-360015,Ñiquén,-36.29361111,-71.89361111,167,San Ignacio,Ñuble,2011-01-01 0:00
FDF-320110,Nogales,-32.73638889,-71.19916667,227,Nogales,Valparaíso,2011-01-01 0:00
FDF-380041,Nueva Imperial ,-38.76138889,-72.8775,85,Nueva Imperial,La Araucanía,2011-01-01 0:00
FDF-340010,Olivar Alto,-34.20305556,-70.82416667,457,Olivar,O'Higgins,2011-01-01 0:00
FDF-320125,Olmué,-33.02194444,-71.18638889,158,Olmué,Valparaíso,2011-01-01 0:00
FDF-400060,Osorno,-40.53333333,-73.0725,78,Osorno,Los Lagos,2011-01-01 0:00
FDF-300030,Paihuano,-30.04694444,-70.51083333,1204,Paiguano,Coquimbo,2011-01-01 0:00
FDF-320045,Paihuén,-32.37927783,-70.841622,505,Cabildo,Valparaíso,2011-01-01 0:00
